season,week,team,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,defense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,average_defensive_two_point_attempt,average_defensive_two_point_conv,average_defensive_extra_point_attempt,average_defensive_extra_point_conv
2021,1,ARI,REG,0,1,2,2,2,0,0,44,7,4,6,10,0,0,0,0,0,13,0,2,1,7,3,42,3,0,0,22,64,13,0.34,0.66,0,0,0,1,0,0,1,0,0,'1-0-0,1,0,1,2,2,2,0,0,44,7,4,6,10,0,0,0,0,0
2021,2,ARI,REG,0,0,2,0,2,0,1,43,8,3,1,4,0,0,0,0,0,27,0,4,3,6,4,33,5,0,0,27,60,18,0.45,0.55,1,0,0,0,0,0,2,0,0,'2-0-0,1,0,0.5,2,1,2,0,0.5,43.5,7.5,3.5,3.5,7,0,0,0,0,0
2021,3,ARI,REG,0,2,5,2,3,2,1,41,14,2,3,7,1,0,0,0,0,14,6,3,0,6,3,36,6,0,1,29,66,15,0.44,0.55,0,0,0,1,0,0,3,0,0,'3-0-0,1,0,1,3,1.333333333,2.333333333,0.666666667,0.666666667,42.66666667,9.666666667,3,3.333333333,7,0.333333333,0,0,0,0
2021,4,ARI,REG,0,1,1,1,1,0,0,37,10,3,0,5,0,0,0,0,0,20,0,2,3,8,6,41,1,1,0,22,64,14,0.34,0.64,0,0,0,1,0,0,4,0,0,'4-0-0,1,0,1,2.5,1.25,2,0.5,0.5,41.25,9.75,3,2.5,6.5,0.25,0,0,0,0
2021,5,ARI,REG,0,1,0,0,0,0,0,37,9,4,2,7,0,0,0,0,0,10,0,1,1,4,8,31,2,0,0,28,59,8,0.47,0.53,1,0,0,0,0,0,5,0,0,'5-0-0,1,0,1,2,1,1.6,0.4,0.4,40.4,9.6,3.2,2.4,6.6,0.2,0,0,0,0
2021,6,ARI,REG,0,1,2,2,2,0,0,34,12,5,5,6,0,0,0,0,0,14,0,2,0,8,4,36,2,0,0,19,55,12,0.35,0.65,0,0,0,1,0,0,6,0,0,'6-0-0,1,0,1,2,1.166666667,1.666666667,0.333333333,0.333333333,39.33333333,10,3.5,2.833333333,6.5,0.166666667,0,0,0,0
2021,7,ARI,REG,0,0,1,1,1,0,0,32,10,5,2,5,0,0,0,0,0,3,0,0,1,7,7,34,7,0,0,15,49,15,0.31,0.69,1,0,0,0,0,0,7,0,0,'7-0-0,1,0,0.857142857,1.857142857,1.142857143,1.571428571,0.285714286,0.285714286,38.28571429,10,3.714285714,2.714285714,6.285714286,0.142857143,0,0,0,0
2021,8,ARI,REG,0,0,2,1,1,1,1,36,19,4,1,4,0,0,0,0,0,24,0,3,1,4,3,38,3,1,0,33,72,11,0.46,0.53,0,1,0,0,0,0,7,1,0,'7-1-0,0.875,0,0.75,1.875,1.125,1.5,0.375,0.375,38,11.125,3.75,2.5,6,0.125,0,0,0,0
2021,9,ARI,REG,0,1,2,2,2,0,0,31,15,3,5,8,0,0,0,0,0,17,0,2,1,6,3,45,4,0,0,11,56,13,0.2,0.8,0,0,0,1,0,0,8,1,0,'8-1-0,0.889,0,0.777777778,1.888888889,1.222222222,1.555555556,0.333333333,0.333333333,37.22222222,11.55555556,3.666666667,2.777777778,6.222222222,0.111111111,0,0,0,0
2021,10,ARI,REG,0,1,2,1,0,2,0,46,18,9,0,3,0,0,0,0,0,34,0,2,4,3,5,33,3,0,1,37,71,12,0.52,0.46,0,1,0,0,0,0,8,2,0,'8-2-0,0.8,0,0.8,1.9,1.2,1.4,0.5,0.3,38.1,12.2,4.2,2.5,5.9,0.1,0,0,0,0
2021,11,ARI,REG,0,0,2,0,1,1,0,24,14,6,4,6,0,0,0,0,0,13,0,1,2,5,0,30,5,0,0,19,49,13,0.39,0.61,0,0,0,1,0,0,9,2,0,'9-2-0,0.818,0,0.727272727,1.909090909,1.090909091,1.363636364,0.545454545,0.272727273,36.81818182,12.36363636,4.363636364,2.636363636,5.909090909,0.090909091,0,0,0,0
2021,13,ARI,REG,0,4,2,0,0,2,0,45,15,2,3,5,0,0,0,0,0,22,0,2,0,7,8,45,2,0,0,27,72,11,0.38,0.62,0,0,0,1,0,0,10,2,0,'10-2-0,0.833,0,1,1.916666667,1,1.25,0.666666667,0.25,37.5,12.58333333,4.166666667,2.666666667,5.833333333,0.083333333,0,0,0,0
