team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
ARI,1,2021,2,0.089,0.078,38,13,425,289,136,4,1,0,13,7,1,1,0,0,1,2,2,2,0,6,31,33,0.51,0.49,0.66,0.34
ARI,2,2021,-2,0.070,0.073,35,27,503,400,103,3,1,0,16,5,2,1,0,0,0,2,0,2,0,1,34,21,0.65,0.35,0.55,0.45
ARI,3,2021,3,0.076,0.063,31,14,407,316,91,0,4,1,14,8,1,0,0,0,2,5,2,3,0,3,33,30,0.53,0.47,0.55,0.44
ARI,4,2021,2,0.076,0.056,37,20,484,268,216,2,2,0,11,15,0,1,0,0,1,1,1,1,0,0,32,40,0.47,0.51,0.64,0.34
ARI,5,2021,0,0.051,0.034,17,10,333,239,94,1,1,0,11,8,0,4,1,0,1,0,0,0,0,2,31,27,0.55,0.4,0.53,0.47
ARI,6,2021,3,0.099,0.060,37,14,373,229,144,4,0,0,11,8,0,4,0,0,1,2,2,2,0,5,30,37,0.46,0.49,0.65,0.35
ARI,7,2021,0,0.072,0.063,31,3,433,261,172,3,1,0,15,7,1,1,0,1,0,1,1,1,0,2,27,37,0.46,0.51,0.69,0.31
ARI,8,2021,-1,0.060,0.059,21,24,348,274,74,0,3,0,12,7,2,2,0,0,0,2,1,1,0,1,31,20,0.64,0.36,0.53,0.46
ARI,9,2021,3,0.070,0.061,31,17,445,282,163,1,3,0,11,9,0,1,0,0,1,2,2,2,0,5,27,39,0.43,0.56,0.8,0.2
ARI,10,2021,0,0.048,0.021,10,34,208,143,65,0,1,0,6,3,1,2,1,0,1,2,1,0,0,0,28,20,0.62,0.38,0.46,0.52
ATL,1,2021,0,0.021,0.000,6,32,288,164,124,0,0,0,8,7,0,1,0,0,0,2,0,0,0,1,35,26,0.59,0.41,0.51,0.47
ATL,2,2021,-2,0.076,0.045,27,36,355,300,55,2,1,0,15,2,3,1,0,0,0,2,1,2,0,3,45,21,0.7,0.3,0.65,0.3
ATL,3,2021,0,0.054,0.036,17,14,312,243,69,2,0,0,12,3,0,1,1,0,0,3,1,2,0,2,36,20,0.66,0.34,0.57,0.42
ATL,4,2021,0,0.079,0.057,30,34,382,283,99,4,0,0,15,6,0,1,0,0,0,0,0,0,0,1,42,28,0.6,0.39,0.55,0.44
ATL,5,2021,-1,0.060,0.040,27,20,450,342,108,2,1,0,19,5,0,3,2,0,1,1,0,1,0,2,46,29,0.61,0.37,0.66,0.34
ATL,7,2021,0,0.074,0.049,30,28,408,336,72,2,1,0,15,5,1,1,1,0,2,0,0,0,0,1,39,22,0.65,0.32,0.59,0.41
ATL,8,2021,-1,0.057,0.022,13,19,228,146,82,1,0,0,11,2,2,1,0,0,0,1,1,1,0,0,25,20,0.6,0.4,0.35,0.64
ATL,9,2021,1,0.072,0.055,27,25,377,343,34,2,1,0,14,2,0,2,0,0,0,1,1,1,0,1,30,25,0.56,0.4,0.63,0.37
ATL,10,2021,-2,0.038,0.021,9,37,234,131,103,0,1,0,8,3,3,1,0,0,0,1,1,1,0,0,24,24,0.55,0.45,0.48,0.48
ATL,11,2021,-3,0.005,0.000,1,19,198,158,40,0,0,0,7,3,4,0,0,0,1,0,0,0,0,3,28,16,0.69,0.31,0.49,0.47
