team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
ARI,2021,1,2,0.089,0.078,38,13,425,289,136,4,1,0,13,7,1,1,0,0,1,2,2,2,0,6,31,33,0.51,0.49,0.66,0.34
ARI,2021,2,-2,0.07,0.073,35,27,503,400,103,3,1,0,16,5,2,1,0,0,0,2,0,2,0,1,34,21,0.65,0.35,0.55,0.45
ARI,2021,3,3,0.076,0.063,31,14,407,316,91,0,4,1,14,8,1,0,0,0,2,5,2,3,0,3,33,30,0.53,0.47,0.55,0.44
ARI,2021,4,2,0.076,0.056,37,20,484,268,216,2,2,0,11,15,0,1,0,0,1,1,1,1,0,0,32,40,0.47,0.51,0.64,0.34
ARI,2021,5,0,0.051,0.034,17,10,333,239,94,1,1,0,11,8,0,4,1,0,1,0,0,0,0,2,31,27,0.55,0.4,0.53,0.47
ARI,2021,6,3,0.099,0.06,37,14,373,229,144,4,0,0,11,8,0,4,0,0,1,2,2,2,0,5,30,37,0.46,0.49,0.65,0.35
ATL,2021,1,0,0.021,0,6,32,288,164,124,0,0,0,8,7,0,1,0,0,0,2,0,0,0,1,35,26,0.59,0.41,0.51,0.47
ATL,2021,2,-2,0.076,0.045,27,36,355,300,55,2,1,0,15,2,3,1,0,0,0,2,1,2,0,3,45,21,0.7,0.3,0.65,0.3
ATL,2021,3,0,0.054,0.036,17,14,312,243,69,2,0,0,12,3,0,1,1,0,0,3,1,2,0,2,36,20,0.66,0.34,0.57,0.42
ATL,2021,4,0,0.079,0.057,30,34,382,283,99,4,0,0,15,6,0,1,0,0,0,0,0,0,0,1,42,28,0.6,0.39,0.55,0.44
ATL,2021,5,-1,0.06,0.04,27,20,450,342,108,2,1,0,19,5,0,3,2,0,1,1,0,1,0,2,46,29,0.61,0.37,0.66,0.34
ATL,2021,7,0,0.074,0.049,30,28,408,336,72,2,1,0,15,5,1,1,1,0,2,0,0,0,0,1,39,22,0.65,0.32,0.59,0.41
BAL,2021,1,-1,0.064,0.047,27,33,424,235,189,1,2,0,11,8,0,3,2,0,1,2,0,0,0,3,30,34,0.49,0.49,0.71,0.26
BAL,2021,2,0,0.076,0.077,37,29,490,239,251,1,4,0,11,18,2,1,0,0,1,2,1,1,0,0,24,41,0.4,0.57,0.63,0.37
BAL,2021,3,-1,0.047,0.019,19,17,403,287,116,1,0,0,10,5,1,1,0,0,0,0,0,0,0,2,30,22,0.6,0.39,0.55,0.45
BAL,2021,4,1,0.055,0.03,23,7,418,316,102,1,1,0,14,6,0,0,0,0,1,0,0,0,0,5,37,30,0.57,0.43,0.71,0.29
BAL,2021,5,0,0.059,0.058,31,25,528,442,86,4,0,0,22,7,0,1,1,0,0,1,1,1,0,2,43,26,0.64,0.36,0.59,0.41
BAL,2021,6,-1,0.096,0.063,34,6,354,167,187,1,3,0,12,14,2,2,0,0,1,0,0,0,0,2,25,38,0.44,0.53,0.77,0.23
BUF,2021,1,-1,0.057,0.026,22,17,387,270,117,1,1,0,13,8,0,4,1,0,0,1,0,1,0,2,51,25,0.68,0.32,0.62,0.33
BUF,2021,2,-1,0.109,0.081,35,,322,179,143,2,3,0,8,10,1,3,2,0,1,1,1,1,0,6,32,30,0.53,0.44,0.71,0.27
BUF,2021,3,3,0.089,0.065,43,21,481,359,122,4,1,0,20,8,0,0,0,0,2,2,1,1,0,1,44,33,0.58,0.38,0.5,0.5
BUF,2021,4,4,0.088,0.057,40,,455,256,199,2,2,0,12,12,1,3,0,0,4,2,1,1,0,3,30,40,0.44,0.53,0.57,0.43
BUF,2021,5,4,0.073,0.074,32,21,436,315,121,3,1,1,12,7,0,0,0,0,2,2,2,1,0,2,26,28,0.48,0.46,0.71,0.29
BUF,2021,6,0,0.071,0.043,31,34,435,353,82,3,0,0,22,3,1,1,0,0,1,0,0,0,0,0,46,23,0.69,0.31,0.57,0.41
CAR,2021,1,0,0.049,0.032,19,14,390,279,111,1,1,0,14,4,0,1,1,0,1,1,0,1,0,6,35,27,0.57,0.38,0.71,0.29
CAR,2021,2,1,0.066,0.043,26,7,394,305,89,2,1,0,18,4,1,1,0,0,2,0,0,0,0,4,37,33,0.55,0.45,0.6,0.37
CAR,2021,3,0,0.057,0.045,24,9,421,304,117,0,3,0,15,10,0,3,0,0,0,1,0,0,0,4,34,33,0.53,0.43,0.63,0.35
CAR,2021,4,-2,0.068,0.066,28,36,414,301,113,2,2,0,13,9,2,0,0,0,0,1,0,0,0,0,37,24,0.65,0.35,0.41,0.55
CAR,2021,5,-1,0.056,0.016,16,21,286,177,109,1,0,0,9,6,3,0,0,0,1,2,1,1,1,2,34,30,0.57,0.43,0.65,0.32
CAR,2021,6,-2,0.068,0.032,22,40,325,207,118,1,1,0,8,8,1,3,2,0,0,3,1,2,0,0,40,23,0.67,0.32,0.56,0.43
CHI,2021,1,-2,0.04,0.031,14,34,350,216,134,0,2,0,13,10,1,1,1,0,0,0,0,0,0,1,39,26,0.62,0.38,0.54,0.38
CHI,2021,2,3,0.059,0.018,14,18,239,116,123,1,0,1,7,6,1,1,0,0,3,1,1,1,0,5,23,34,0.44,0.51,0.64,0.36
CHI,2021,3,0,0.053,0,6,26,114,68,46,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,20,13,0.69,0.31,0.45,0.51
CHI,2021,4,1,0.06,0.055,24,14,397,209,188,0,3,0,5,13,1,1,0,0,0,3,2,2,0,4,16,39,0.32,0.65,0.63,0.37
CHI,2021,5,1,0.076,0.034,20,9,262,119,143,1,1,0,8,7,0,1,0,0,1,0,0,0,0,3,21,37,0.37,0.62,0.64,0.36
CHI,2021,6,-1,0.045,0.038,14,24,314,174,140,1,1,0,10,10,1,1,0,0,0,0,0,0,0,3,26,26,0.54,0.46,0.46,0.47
CIN,2021,1,1,0.066,0.048,27,24,410,261,149,2,1,0,12,7,0,0,0,0,0,1,1,1,0,3,27,36,0.46,0.53,0.69,0.29
CIN,2021,2,-3,0.065,0.043,18,14,276,207,69,2,0,0,10,2,3,1,1,0,1,1,0,1,0,3,27,20,0.64,0.36,0.44,0.51
CIN,2021,3,1,0.09,0.073,24,10,268,172,96,3,0,0,7,4,1,0,0,0,2,1,0,1,0,4,17,24,0.43,0.5,0.81,0.19
CIN,2021,4,0,0.056,0.056,24,21,426,348,78,2,1,0,16,4,0,0,0,0,0,1,0,1,0,1,32,22,0.6,0.4,0.45,0.55
CIN,2021,5,-1,0.057,0.05,22,25,384,281,103,2,1,0,12,6,2,0,0,0,1,0,0,0,0,2,36,24,0.64,0.36,0.63,0.35
CIN,2021,6,0,0.081,0.062,34,11,420,278,142,4,0,0,10,8,1,1,0,0,1,0,0,0,0,1,29,36,0.47,0.49,0.69,0.29
CLE,2021,1,-2,0.061,0.074,29,33,474,321,153,0,4,0,14,9,1,2,1,0,0,0,0,0,0,2,27,27,0.53,0.47,0.63,0.34
CLE,2021,2,-2,0.084,0.074,31,21,369,213,156,1,3,0,10,11,1,3,2,0,1,2,0,1,0,1,20,34,0.4,0.54,0.52,0.48
CLE,2021,3,0,0.056,0.027,26,6,461,246,215,1,1,0,13,11,0,1,0,0,0,0,0,0,0,9,31,42,0.45,0.51,0.69,0.31
