team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
ARI,2012,2,0.051,0.022,233,42,4587,3383,1204,11,10,4,168,58,21,22,13,1,22,19,11,14,0,38,587,352,0.65,0.34,0.51,0.47
ATL,2012,17,0.067,0.045,408,6,6116,4719,1397,32,12,2,246,70,14,9,4,1,20,16,11,15,0,29,601,379,0.63,0.36,0.59,0.41
BAL,2012,3,0.065,0.041,383,18,5897,3996,1901,22,19,2,182,98,11,15,7,1,13,22,10,8,0,37,549,444,0.57,0.41,0.55,0.45
BUF,2012,-2,0.06,0.042,338,12,5647,3430,2217,24,15,1,176,103,17,25,17,0,12,24,9,20,1,36,494,442,0.55,0.44,0.55,0.44
CAR,2012,11,0.058,0.045,346,18,5989,3927,2062,19,23,3,171,123,12,18,7,1,11,22,15,19,1,39,478,462,0.53,0.46,0.59,0.4
CHI,2012,25,0.061,0.035,323,12,5268,3298,1970,21,12,9,163,99,16,21,9,2,24,33,19,26,0,41,469,471,0.53,0.45,0.62,0.37
CIN,2012,4,0.067,0.041,371,24,5552,3807,1745,28,11,3,173,95,16,20,11,0,14,25,15,17,0,51,524,430,0.57,0.41,0.59,0.4
CLE,2012,10,0.056,0.031,292,12,5261,3668,1593,16,13,2,185,71,18,24,6,0,17,23,14,17,0,38,548,397,0.6,0.39,0.58,0.4
DAL,2012,-9,0.059,0.039,367,18,6257,4992,1265,29,10,3,237,76,19,21,11,0,7,16,8,14,0,34,639,356,0.66,0.32,0.55,0.44
DEN,2012,11,0.067,0.047,437,12,6503,4671,1832,37,13,6,232,112,11,20,14,1,16,25,8,20,2,52,577,482,0.56,0.42,0.6,0.39
DET,2012,-8,0.057,0.037,388,36,6752,5139,1613,22,19,0,272,84,17,18,14,0,11,25,8,12,1,34,723,391,0.66,0.33,0.58,0.41
GB,2012,10,0.069,0.051,415,0,6044,4342,1702,40,10,2,213,85,8,17,8,0,18,17,5,8,0,47,550,433,0.58,0.4,0.59,0.4
HOU,2012,16,0.063,0.04,390,0,6169,4046,2123,22,20,3,205,114,13,11,4,1,15,23,14,18,1,44,541,508,0.53,0.45,0.61,0.38
IND,2012,-7,0.057,0.035,342,18,6045,4374,1671,23,14,4,208,110,18,21,8,0,12,11,4,7,0,32,610,441,0.6,0.38,0.57,0.42
JAX,2012,-2,0.053,0.03,272,30,5115,3746,1369,20,8,0,157,76,17,20,10,0,12,17,10,13,0,20,569,360,0.64,0.35,0.5,0.48
KC,2012,-16,0.041,0.02,220,30,5332,2937,2395,8,11,1,144,118,20,25,16,0,7,20,7,13,1,27,455,500,0.5,0.49,0.5,0.48
LA,2012,8,0.049,0.028,270,18,5497,3783,1714,22,5,5,189,79,14,21,8,0,17,19,3,13,1,52,543,411,0.59,0.39,0.57,0.41
