season,week,team,season_type,shotgun,no_huddle,qb_dropback,qb_scramble,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,offense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie,record,win_pct,passing_air_yards,receiving_air_yards,receptions,receiving_touchdown,targets,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,touches,total_tds,td_pct,total_yards,yptouch,average_shotgun,average_no_huddle,average_qb_dropback,average_qb_scramble,average_total_off_yards,average_pass_attempts,average_complete_pass,average_incomplete_pass,average_passing_yards,average_air_yards,average_receiving_yards,average_yards_after_catch,average_rush_attempts,average_rushing_yards,average_tackled_for_loss,average_first_down_pass,average_first_down_rush,average_third_down_converted,average_third_down_failed,average_fourth_down_converted,average_fourth_down_failed,average_rush_touchdown,average_pass_touchdown,average_safety,average_interception,average_fumble,average_fumble_lost,average_fumble_forced,average_fumble_not_forced,average_fumble_out_of_bounds
2021,1,ARI,REG,60,9,35,1,425,31,21,10,289,262,289,151,33,136,0,13,7,7,6,0,0,1,4,0,1,1,0,0,1,0,38,0,5,2,3,5,34,3,0,0,33,67,13,0.49,0.51,0,0,0,1,0,0,1,0,0,'1-0-0,1,262,262,21,4,31,6.34,8.452,0.985,0.886,0.677,0.032,0.129,9.32,0.129,9.32,8.45,13.76,0.03,4.12,85,9,0.11,714,8.4,60,9,35,1,425,31,21,10,289,262,289,151,33,136,0,13,7,7,6,0,0,1,4,0,1,1,0,0,1,0
2021,2,ARI,REG,59,30,42,3,503,34,29,5,400,296,400,191,21,103,2,16,5,3,6,1,0,1,3,0,2,1,0,1,0,1,35,6,4,2,7,3,39,4,0,0,21,60,17,0.35,0.65,1,0,0,0,0,0,2,0,0,'2-0-0,1,296,296,29,3,34,8.38,8.706,1.113,0.971,0.853,0.059,0.088,11.76,0.088,11.76,8.71,13.79,0.048,4.9,84,7,0.08,903,10.75,59.5,19.5,38.5,2,464,32.5,25,7.5,344.5,279,344.5,171,27,119.5,1,14.5,6,5,6,0.5,0,1,3.5,0,1.5,1,0,0.5,0.5,0.5
2021,3,ARI,REG,55,26,37,4,407,33,28,5,316,262,316,143,30,91,2,14,8,1,8,2,0,4,0,0,1,0,0,0,0,0,31,0,4,2,3,5,34,5,0,0,30,64,14,0.47,0.53,0,0,0,1,0,0,3,0,0,'3-0-0,1,262,262,28,0,33,6.36,7.939,0.985,0.943,0.848,0.03,0,9.58,0,9.58,7.94,11.29,0.133,3.03,91,4,0.04,723,7.95,58,21.66666667,38,2.666666667,445,32.66666667,26,6.666666667,335,273.3333333,335,161.6666667,28,110,1.333333333,14.33333333,6.666666667,3.666666667,6.666666667,1,0,2,2.333333333,0,1.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333
2021,4,ARI,REG,70,33,39,4,484,32,24,8,268,230,268,140,40,216,4,11,15,8,5,0,0,2,2,0,0,1,0,1,0,1,37,0,4,3,5,5,35,2,2,0,38,75,14,0.51,0.47,0,0,0,1,0,0,4,0,0,'4-0-0,1,230,230,24,2,32,6.45,7.188,0.865,0.914,0.75,0,0.062,8.38,0.062,8.38,7.19,11.17,0.05,5.4,96,6,0.06,752,7.83,61,24.5,38.25,3,454.75,32.5,25.5,7,318.25,262.5,318.25,156.25,31,136.5,2,13.5,8.75,4.75,6.25,0.75,0,2,2.25,0,1,0.75,0,0.5,0.25,0.5
2021,5,ARI,REG,59,27,33,0,333,31,22,9,239,230,239,106,27,94,1,11,8,3,7,0,0,1,1,0,0,4,1,1,3,0,17,0,2,2,3,2,33,4,3,0,24,60,11,0.4,0.55,1,0,0,0,0,0,5,0,0,'5-0-0,1,230,230,22,1,31,5.55,7.419,0.865,0.886,0.71,0,0.032,7.71,0.032,7.71,7.42,10.86,0.037,3.48,80,3,0.04,572,7.15,60.6,25,37.2,2.4,430.4,32.2,24.8,7.4,302.4,256,302.4,146.2,30.2,128,1.8,13,8.6,4.4,6.4,0.6,0,1.8,2,0,0.8,1.4,0.2,0.6,0.8,0.4
2021,6,ARI,REG,72,5,32,0,373,30,20,10,229,264,229,76,37,144,2,11,8,8,7,1,0,0,4,0,0,4,0,0,4,0,37,0,4,3,2,8,32,2,3,0,34,69,11,0.49,0.46,0,0,0,1,0,0,6,0,0,'6-0-0,1,264,264,20,4,30,5.41,8.8,0.992,0.857,0.667,0,0.133,7.63,0.133,7.63,8.8,11.45,0,3.89,87,8,0.09,602,6.92,62.5,21.66666667,36.33333333,2,420.8333333,31.83333333,24,7.833333333,290.1666667,257.3333333,290.1666667,134.5,31.33333333,130.6666667,1.833333333,12.66666667,8.5,5,6.5,0.666666667,0,1.5,2.333333333,0,0.666666667,1.833333333,0.166666667,0.5,1.333333333,0.333333333
2021,7,ARI,REG,69,24,34,2,433,27,20,7,261,253,261,82,37,172,5,15,7,6,6,1,0,1,3,1,1,1,0,0,1,0,31,0,4,1,2,5,32,4,2,0,35,69,11,0.51,0.46,1,0,0,0,0,0,7,0,0,'7-0-0,1,253,253,20,3,27,6.28,9.37,0.951,0.771,0.741,0.037,0.111,9.67,0.111,9.67,9.37,13.05,0.027,4.65,84,7,0.08,694,8.26,63.42857143,22,36,2,422.5714286,31.14285714,23.42857143,7.714285714,286,256.7142857,286,127,32.14285714,136.5714286,2.285714286,13,8.285714286,5.142857143,6.428571429,0.714285714,0,1.428571429,2.428571429,0.142857143,0.714285714,1.714285714,0.142857143,0.428571429,1.285714286,0.285714286
2021,8,ARI,REG,58,21,36,1,348,31,22,9,274,304,274,139,20,74,1,12,7,4,6,2,0,3,0,0,2,2,0,1,1,0,21,0,3,0,5,5,35,3,0,0,20,55,11,0.36,0.64,0,1,0,0,0,0,7,1,0,'7-1-0,0.875,304,304,22,0,31,6.33,9.806,1.143,0.886,0.71,0.065,0,8.84,0,8.84,9.81,12.45,0.15,3.7,73,3,0.04,622,8.52,62.75,21.875,36,1.875,413.25,31.125,23.25,7.875,284.5,262.625,284.5,128.5,30.625,128.75,2.125,12.875,8.125,5,6.375,0.875,0,1.625,2.125,0.125,0.875,1.75,0.125,0.5,1.25,0.25
2021,9,ARI,REG,64,17,30,1,445,27,23,4,282,120,282,193,39,163,3,11,9,7,8,1,1,3,1,0,0,1,0,1,0,0,31,0,4,1,4,5,29,4,1,0,38,68,13,0.56,0.43,0,0,0,1,0,0,8,1,0,'8-1-0,0.889,120,120,23,1,27,6.54,4.444,0.451,0.771,0.852,0,0.037,10.44,0.037,10.44,4.44,12.26,0.077,4.18,89,5,0.06,727,8.17,62.88888889,21.33333333,35.33333333,1.777777778,416.7777778,30.66666667,23.22222222,7.444444444,284.2222222,246.7777778,284.2222222,135.6666667,31.55555556,132.5555556,2.222222222,12.66666667,8.222222222,5.222222222,6.555555556,0.888888889,0.111111111,1.777777778,2,0.111111111,0.777777778,1.666666667,0.111111111,0.555555556,1.111111111,0.222222222
2021,10,ARI,REG,47,21,34,1,208,28,17,11,143,223,134,74,20,65,2,6,3,4,9,0,3,1,0,0,1,2,1,1,1,0,10,0,1,1,7,4,33,4,0,0,20,53,13,0.38,0.62,0,1,0,0,0,0,8,2,0,'8-2-0,0.8,223,223,17,0,28,3.92,7.964,0.838,0.8,0.607,0.036,0,5.11,0,4.79,7.96,7.88,0.05,3.25,65,1,0.02,342,5.26,61.3,21.3,35.2,1.7,395.9,30.4,22.6,7.8,270.1,244.4,269.2,129.5,30.4,125.8,2.2,12,7.7,5.1,6.8,0.8,0.4,1.7,1.8,0.1,0.8,1.7,0.2,0.6,1.1,0.2
