team,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARI,0,0,1,1,0,0,0,0,0,1,0,0,0
ATL,1,0,0,0,1,1,0,0,0,0,0,0,0
BAL,1,0,1,0,0,0,1,1,1,0,1,1,1
BUF,0,0,0,0,0,1,0,1,1,1,1,1,1
CAR,0,1,1,1,0,1,0,0,0,0,0,0,0
CHI,0,0,0,0,0,0,1,0,1,0,0,0,0
CIN,1,1,1,1,0,0,0,0,0,1,1,0,0
CLE,0,0,0,0,0,0,0,0,1,0,0,1,0
DAL,0,0,1,0,1,0,1,0,0,1,1,1,0
DEN,1,1,1,1,0,0,0,0,0,0,0,0,1
DET,0,0,1,0,1,0,0,0,0,0,0,1,1
GB,1,1,1,1,1,0,0,1,1,1,0,1,1
HOU,1,0,0,1,1,0,1,1,0,0,0,1,1
IND,1,1,1,0,0,0,1,0,1,0,0,0,0
JAX,0,0,0,0,0,1,0,0,0,0,1,0,0
KC,0,1,0,1,1,1,1,1,1,1,1,1,1
LA,0,0,0,0,0,1,1,0,1,1,0,1,1
LAC,0,1,0,0,0,0,1,0,0,0,1,0,1
LV,0,0,0,0,1,0,0,0,0,1,0,0,0
MIA,0,0,0,0,1,0,0,0,0,0,1,1,0
MIN,1,0,0,1,0,1,0,1,0,0,1,0,1
NE,1,1,1,1,1,1,1,1,0,1,0,0,0
NO,0,1,0,0,0,1,1,1,1,0,0,0,0
NYG,0,0,0,0,1,0,0,0,0,0,1,0,0
PHI,0,1,0,0,0,1,1,1,0,1,1,1,1
PIT,0,0,1,1,1,1,0,0,1,1,0,1,1
SEA,1,1,1,1,1,0,1,1,1,0,1,0,0
SF,1,1,0,0,0,0,0,1,0,1,1,1,0
TB,0,0,0,0,0,0,0,0,1,1,1,1,1
TEN,0,0,0,0,0,1,0,1,1,1,0,0,0
WAS,1,0,0,1,0,0,0,0,1,0,0,0,1
