team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
ARI,2012,233,42,4587,3383,1204,11,10,168,58,21,13,22,38,2,0.051,0.022,0
ATL,2012,408,6,6116,4719,1397,32,12,246,70,14,4,20,29,17,0.067,0.045,1
BAL,2012,383,18,5897,3996,1901,22,19,182,98,11,7,13,37,3,0.065,0.041,1
BUF,2012,338,12,5647,3430,2217,24,15,176,103,17,17,12,36,-2,0.06,0.042,0
CAR,2012,346,18,5989,3927,2062,19,23,171,123,12,7,11,39,11,0.058,0.045,0
CHI,2012,323,12,5268,3298,1970,21,12,163,99,16,9,24,41,25,0.061,0.035,0
CIN,2012,371,24,5552,3807,1745,28,11,173,95,16,11,14,51,4,0.067,0.041,0
CLE,2012,292,12,5261,3668,1593,16,13,185,71,18,6,17,38,10,0.056,0.031,0
DAL,2012,367,18,6257,4992,1265,29,10,237,76,19,11,7,34,-9,0.059,0.039,0
DEN,2012,437,12,6503,4671,1832,37,13,232,112,11,14,16,52,11,0.067,0.047,1
DET,2012,388,36,6752,5139,1613,22,19,272,84,17,14,11,34,-8,0.057,0.037,1
GB,2012,415,0,6044,4342,1702,40,10,213,85,8,8,18,47,10,0.069,0.051,1
HOU,2012,390,0,6169,4046,2123,22,20,205,114,13,4,15,44,16,0.063,0.04,1
IND,2012,342,18,6045,4374,1671,23,14,208,110,18,8,12,32,-7,0.057,0.035,0
JAX,2012,272,30,5115,3746,1369,20,8,157,76,17,10,12,20,-2,0.053,0.03,0
KC,2012,220,30,5332,2937,2395,8,11,144,118,20,16,7,27,-16,0.041,0.02,0
LA,2012,270,18,5497,3783,1714,22,5,189,79,14,8,17,52,8,0.049,0.028,0
LAC,2012,309,18,5067,3606,1461,26,6,184,81,15,12,14,38,5,0.061,0.035,0
LV,2012,292,12,5712,4292,1420,24,4,200,72,16,10,11,25,-7,0.051,0.028,0
MIA,2012,284,12,5227,3425,1802,13,17,158,93,13,11,10,42,-1,0.054,0.032,0
MIN,2012,356,6,5569,2935,2634,18,17,163,113,12,11,10,44,1,0.064,0.037,0
NE,2012,519,0,7028,4844,2184,34,27,256,151,9,7,20,37,34,0.074,0.053,1
NO,2012,434,18,6764,5187,1577,43,10,267,64,19,6,15,30,0,0.064,0.052,1
NYG,2012,419,12,5829,3967,1862,26,19,187,103,15,9,21,33,11,0.072,0.048,1
NYJ,2012,271,24,5074,3178,1896,14,15,162,102,19,16,11,30,-10,0.053,0.03,0
PHI,2012,287,42,5949,4075,1874,18,11,190,111,15,20,8,30,-15,0.048,0.029,0
PIT,2012,340,24,5549,4012,1537,27,9,202,80,14,16,10,37,-4,0.061,0.037,0
